日付,商品名,カテゴリ,数量,単価,金額
2026-03-01,オーガニックコーヒー,飲料,8,780,6240
2026-03-01,米粉クッキー,食品,12,350,4200
2026-03-02,ハーブティー,飲料,6,680,4080
2026-03-03,エコバッグ,雑貨,5,1200,6000
2026-03-05,ビジネスノート,文具,10,480,4800
2026-03-05,ジェルボールペン,文具,15,180,2700
2026-03-07,ハンドソープ,日用品,7,620,4340
2026-03-08,キッチンタオル,日用品,6,540,3240
2026-03-10,季節限定ギフトセット,ギフト,3,2800,8400
2026-03-12,オーガニックコーヒー,飲料,10,780,7800
2026-03-13,米粉クッキー,食品,9,350,3150
2026-03-15,ハーブティー,飲料,8,680,5440
2026-03-17,エコバッグ,雑貨,4,1200,4800
2026-03-18,ビジネスノート,文具,8,480,3840
2026-03-20,ハンドソープ,日用品,6,620,3720
2026-03-22,季節限定ギフトセット,ギフト,4,2800,11200
2026-03-24,キッチンタオル,日用品,8,540,4320
2026-03-27,オーガニックコーヒー,飲料,9,780,7020
2026-03-28,ジェルボールペン,文具,20,180,3600
2026-03-30,米粉クッキー,食品,11,350,3850
